Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Median Pitch,Mean Pitch ,Standard deviation,Number of pulses,Number of periods,Class information
1.533,0.00007623,0.462,0.34,1.387,9.921,0.956,3.153,5.111,8.569,9.458,200.023,200.385,23.693,99,97,1
2.783,0.000135293,1.221,1.338,3.663,14.779,1.374,5.009,9.16,22.177,15.027,207.392,206.26,24.291,101,98,1
3.999,0.000187606,1.928,2.231,5.784,16.509,1.363,7.845,11.732,16.951,23.535,209.238,213.78,21.285,81,79,1
2.227,0.000105967,1.014,1.418,3.043,11.65,1.03,4.018,6.837,18.322,12.053,208.71,210.295,15.966,100,99,1
1.728,0.000078865,0.811,0.82,2.433,12.257,1.066,4.765,8.437,15.479,14.295,211.747,219.549,20.05,101,99,1
2.638,0.000123954,1.418,1.477,4.253,8.977,0.827,2.936,4.644,8.139,8.807,207.941,213.566,16.238,93,92,1
0.427,0.000034476,0.243,0.249,0.728,7.428,0.694,4.205,4.311,5.25,12.616,124.171,123.883,2.179,345,344,1
0.844,0.000068985,0.509,0.489,1.527,14.053,1.239,6.131,7.015,9.26,18.394,122.22,122.381,1.65,585,582,1
1.264,0.000100503,0.791,0.676,2.373,16.872,1.504,9.316,9.771,13.811,27.949,126.074,125.781,1.995,557,556,1
2.877,0.000244132,1.25,1.323,3.749,13.719,1.275,4.169,5.84,12.847,12.507,120.804,118.96,6.834,43,42,1
4.052,0.00031326,1.829,2.676,5.487,16.14,1.425,7.619,11.598,24.421,22.857,131.474,128.817,14.766,58,56,1
2.7,0.000222142,0.96,1.082,2.879,10.616,1.103,3.519,4.898,12.179,10.556,125.484,121.862,9.924,40,39,1
2.619,0.000222234,1.004,1.229,3.011,10.276,1.036,5.355,6.72,10.328,16.065,116.925,118.702,7.166,44,43,1
3.457,0.000289743,1.623,2.652,4.869,9.389,1.13,4.548,6.338,6.708,13.644,121.062,119.918,7.579,48,47,1
2.664,0.000226138,1.185,1.254,3.555,12.08,1.229,5.164,6.205,10.982,15.492,117.366,117.801,8.275,68,64,1
3.531,0.000297458,1.695,1.519,5.086,18.21,1.584,10.211,9.219,5.059,30.634,117.276,119.252,7.796,73,71,1
4.162,0.00034749,2.023,2.41,6.068,17.922,1.654,9.617,13.026,33.46,28.851,119.57,119.766,8.098,64,62,1
3.34,0.000255601,1.705,1.772,5.116,13.053,1.308,5.658,7.013,13.321,16.973,133.318,131.055,8.661,67,65,1
3.671,0.000305225,1.66,1.687,4.979,10.203,0.922,4.369,5.335,7.554,13.107,125.274,120.851,7.859,35,34,1
3.314,0.000247864,1.485,2.056,4.456,13.296,1.353,5.363,8.725,14.178,16.09,132.447,134.598,47.715,163,152,1
2.026,0.00016664,1.006,1.091,3.019,9.969,1.096,3.746,5.717,12.918,11.237,124.529,122.049,7.082,141,140,1
3.09,0.000246105,1.647,1.947,4.94,15.265,1.348,7.161,10.888,16.693,21.482,125.337,125.417,10.161,142,141,1
4.51,0.000350085,2.029,2.648,6.087,11.404,1.099,4.208,6.252,14.629,12.625,125.218,133.825,55.256,165,155,1
4.48,0.000331485,2.135,2.115,6.404,13.302,1.387,6.023,5.351,12.155,18.069,134.478,132.351,7.976,38,35,1
1.207,0.000096794,0.544,0.476,1.633,9.116,0.83,4.318,4.756,9.184,12.954,124.451,124.997,4.003,62,61,1
3.094,0.000237371,1.801,2.033,5.404,10.363,0.991,5.33,6.765,10.18,15.99,129.305,129.577,3.096,72,71,1
3.017,0.000240587,1.513,1.19,4.538,13.811,1.193,6.679,8.176,10.962,20.038,124.988,125.002,5,65,64,1
1.424,0.000112419,0.694,0.697,2.081,12.156,1.311,4.556,5.638,12.105,13.667,127.432,126.624,6.966,59,57,1
2.569,0.000191173,1.147,1.307,3.44,11.869,1.087,4.683,7.043,18.503,14.048,135.36,133.529,7.66,47,44,1
1.037,0.000077507,0.527,0.528,1.582,6.155,0.609,2.189,3.912,7.725,6.568,136.672,133.958,5.067,60,59,1
2.716,0.000205043,1.254,1.585,3.763,9.803,0.969,3.698,5.825,11.565,11.093,134.927,133.078,6.362,64,62,1
1.797,0.000151423,0.885,1.096,2.656,15.181,1.361,6.144,9.22,14.208,18.432,119.722,118.318,6.818,50,49,1
1.493,0.000063766,0.912,0.822,2.735,11.521,1.068,5.552,7.495,10.72,16.657,240.722,234.117,14.841,102,101,1
1.497,0.000070437,0.892,0.889,2.676,10.703,1.028,5.592,7.57,9.096,16.776,214.201,212.609,18.817,134,133,1
1.542,0.000074376,0.938,0.915,2.813,11.98,1.16,5.93,7.758,11.368,17.79,209.18,207.343,17.765,123,122,1
2.162,0.000100978,1.131,1.215,3.393,11.043,1.199,5.316,6.742,11.269,15.948,219.238,213.395,28.528,91,90,1
2.848,0.000119225,1.127,1.265,3.38,13.66,1.316,6.132,8.779,14.949,18.396,212.064,244.441,104.929,121,109,1
2.367,0.000121108,1.372,1.14,4.116,18.009,1.607,9.216,12.437,19.953,27.649,199.464,196.029,10.346,92,91,1
1.651,0.000084519,0.943,1.018,2.829,16.184,1.448,8.441,9.489,15.61,25.322,197.002,195.245,9.842,99,98,1
1.352,0.000069275,0.805,0.78,2.416,14.311,1.363,7.02,9.08,9.597,21.061,192.86,195.149,6.649,95,94,1
1.68,0.000082277,0.881,0.906,2.642,14.82,1.363,6.794,10.376,18.767,20.382,200.263,204.084,19.556,150,148,1
1.922,0.00009497,1.165,1.145,3.495,16.135,1.336,8.469,10.666,17.717,25.407,199.236,202.576,10.879,105,103,1
3.706,0.000149517,1.909,1.903,5.728,13.062,1.251,5.558,7.63,11.5,16.674,212.002,250.432,103.511,129,122,1
2.199,0.00010372,1.226,1.243,3.678,16.345,1.345,6.365,10.168,15.329,19.096,211.696,212.013,16.924,112,109,1
1.909,0.000088952,0.909,1.214,2.726,13.255,1.333,5.768,8.219,16.005,17.303,216.023,215.344,30.866,54,53,1
2.757,0.000126683,1.409,1.489,4.226,19.646,1.692,10.629,11.795,17.845,31.888,216.694,218.61,31.707,91,86,1
2.624,0.000120884,1.436,1.558,4.309,18.624,1.641,9.593,12.6,23.938,28.78,209.441,217.476,24.316,248,244,1
3.197,0.000150645,1.757,1.545,5.271,14.17,1.327,6.753,8.313,12.558,20.26,211.044,213.774,19.501,144,140,1
2.75,0.000132039,1.395,1.371,4.185,18.7,1.573,8.876,12.172,17.822,26.628,209.106,209.357,18.63,135,129,1
9.52,0.000381367,5.516,7.205,16.547,41.137,2.527,11.296,10.9622,15.306125,33.889,273.274,273.274,0.533,6,5,1
2.627,0.000110117,1.415,1.623,4.244,19.426,1.494,10.987,13.725,15.226,32.961,220.79,240.964,71.851,123,120,1
3.508,0.00017454,2.128,1.886,6.385,19.34,1.731,9.738,12.458,20.492,29.213,208.352,201.122,16.931,79,77,1
3.432,0.000163799,1.771,1.986,5.312,22.287,1.941,11.156,11.682,10.883,33.467,187.33,232.637,112.413,44,37,1
5.906,0.000228643,3.269,2.293,9.806,24.417,1.941,14.031,31.75,15.306125,42.094,92.842,261.022,188.464,50,41,1
4.661,0.00016161,2.304,2.41,6.911,20.138,1.791,8.695,11.631,12.581,26.086,231.789,289.478,116.094,127,114,1
3.405,0.000163372,1.889,2.028,5.667,21.984,1.801,10.111,14.385,20.651,30.332,207.223,209.042,11.248,88,87,1
1.871,0.000087151,0.803,1.011,2.408,12.524,1.208,6.991,7.522,8.41,20.973,209.237,214.7,17.783,100,97,1
5.581,0.000191436,3.106,3.057,9.317,12.628,1.38,5.991,9.613,25.061,17.973,219.335,296.496,132.796,108,98,1
0.607,0.000024648,0.357,0.378,1.071,9.491,0.887,5.349,5.733,6.45,16.047,245.445,246.303,3.191,354,353,1
0.287,0.000011132,0.156,0.172,0.469,4.788,0.452,2.537,3.068,3.688,7.612,256.01,257.926,7.191,446,445,1
0.585,0.000022508,0.356,0.349,1.067,7.978,0.793,3.986,4.672,5.95,11.957,256.526,260.067,14.697,408,407,1
1.903,0.000085195,1.029,1.173,3.087,11.187,1.031,5.524,7.445,10.508,16.572,225.43,224.469,5.332,112,111,1
1.763,0.000077421,0.955,0.854,2.866,7.355,0.738,3.808,4.466,6.163,11.424,227.733,228.728,7.971,121,117,1
0.911,0.000039023,0.472,0.385,1.417,9.255,0.853,4.48,5.866,7.115,13.439,232.052,232.682,8.8,102,101,1
0.715,0.000030763,0.385,0.38,1.154,12.939,1.239,6.474,8.461,9.624,19.423,231.531,232.102,8.083,99,98,1
1.297,0.000056464,0.709,0.724,2.126,9.039,0.853,4.308,5.689,7.814,12.924,230.15,229.69,11.172,102,101,1
1.068,0.000047963,0.592,0.605,1.776,12.603,1.178,6.168,8.493,10.396,18.505,223.004,223.593,4.52,137,135,1
1.295,0.000058265,0.639,0.735,1.917,9.728,1.014,4.349,6.107,7.656,13.046,222.946,222.728,8.304,153,151,1
1.176,0.000051716,0.686,0.771,2.057,9.87,0.922,4.947,7.094,8.725,14.841,228.564,227.334,9.528,116,114,1
1.863,0.00008252,1.085,1.211,3.254,10.098,0.971,4.628,6.425,8.421,13.885,228.717,225.574,7.782,121,119,1
0.767,0.000033933,0.35,0.403,1.049,9.989,0.914,4.636,5.106,6.679,13.909,231.56,226.403,14.781,70,69,1
3.343,0.000132587,1.788,1.908,5.363,13.998,1.31,6.76,9.176,14.721,20.281,253.481,251.4,29.939,232,225,1
1.811,0.000074814,0.959,1.036,2.876,10.974,1.125,4.641,6.861,11.346,13.922,240.844,242.007,26.805,386,383,1
2.702,0.000106491,1.293,1.368,3.878,13.249,1.258,5.628,8.985,14.849,16.884,252.181,254.485,28.742,276,270,1
2.904,0.000110208,1.467,1.569,4.4,13.324,1.285,5.921,8.39,11.738,17.762,270.485,264.12,34.86,258,251,1
2.952,0.000104651,1.562,1.601,4.685,10.731,1.09,4.762,7.592,9.727,14.287,291.486,279.928,20.501,96,94,1
1.353,0.000052632,0.704,0.784,2.113,10.444,0.988,4.809,7.093,9.466,14.428,252.086,257.615,23.467,145,143,1
1.64,0.00006278,0.911,0.747,2.733,11.808,1.154,6.313,6.767,9.496,18.94,261.941,261.32,14.233,128,126,1
1.344,0.000054028,0.62,0.543,1.859,9.363,0.851,4.989,5.847,7.97,14.966,248.743,248.621,12.026,140,137,1
1.697,0.000067413,0.799,0.682,2.397,10.365,0.946,5.074,6.304,8.418,15.223,249.041,251.694,7.839,113,109,1
1.054,0.000041015,0.492,0.531,1.475,9.136,0.877,4.501,5.374,7.922,13.502,256.604,256.64,7.856,88,86,1
1.12,0.00004351,0.539,0.469,1.616,11.402,1.03,5.348,7.502,12.041,16.045,249.182,256.774,23.87,100,99,1
1.992,0.0000781,1.037,1.126,3.111,11.74,1.172,5.431,7.289,10.81,16.294,251.348,255.63,30.692,117,115,1
2.022,0.000087999,1.034,1.045,3.102,15.979,1.467,7.604,7.674,8.984,22.813,230.601,229.837,26.934,84,83,1
0.695,0.000057225,0.386,0.394,1.159,17.582,1.593,9.968,11.287,15.725,29.905,121.641,121.347,4.351,163,162,1
0.395,0.00003355,0.223,0.233,0.669,8.957,0.786,5.278,4.991,6.684,15.834,117.641,117.751,1.255,119,118,1
0.838,0.000069436,0.494,0.45,1.483,12.526,1.202,6.56,7.717,10.977,19.68,122.038,120.642,3.778,140,139,1
3.594,0.000305107,1.648,1.977,4.943,15.248,1.36,4.89,10.72,15.286,14.669,115.019,116.872,7.764,28,27,1
3.45,0.000295226,1.3,1.409,3.899,16.13,1.673,7.769,14.318,15.491,23.307,113.18,115.876,13.411,36,34,1
2.912,0.0002326,1.191,1.043,3.574,15.018,1.257,7.91,6.536,17.075,23.731,125.283,124.713,10.975,27,25,1
1.938,0.000170993,0.636,0.78,1.908,14.284,1.423,5.575,8.74,16.079,16.726,114.937,113.149,6.957,36,34,1
2.084,0.000181571,0.842,1.159,2.525,13.77,1.258,6.891,7.484,14.522,20.672,113.787,114.429,5.599,35,34,1
3.04,0.000275181,1.707,2.009,5.122,16.041,1.46,7.68,9.674,14.268,23.04,110.884,110.657,4.788,62,61,1
3.601,0.000325644,1.821,2.114,5.462,14.606,1.33,7.153,9.949,14.297,21.459,113.668,111.723,9.181,64,63,1
2.7496,0.00025009,1.23496,1.2752,3.70484,14.94524,1.36904,7.24684,9.55324,15.491,21.74036,109.126,111.9164,15.99448,0,0,1
1.933,0.000167667,0.651,0.866,1.953,16.578,1.425,7.844,5.62,13.411,23.531,116.685,115.081,6.846,43,41,1
1.902,0.000157842,0.583,0.779,1.75,13.002,1.21,6.658,6.538,18.808,19.973,119.145,120.044,13.929,32,30,1
3.538,0.000299835,1.708,1.481,5.124,12.371,1.141,5.514,7.423,0.827,16.543,115.86,117.829,10.658,78,71,1
1.093,0.000101398,0.491,0.555,1.474,13.892,1.26,6.675,8.918,12.692,20.024,110.431,108.005,7.577,112,110,1
2.691,0.000203044,1.319,1.443,3.957,17.467,1.503,6.775,10.688,19.19,20.325,105.497,133.746,91.471,110,104,1
4.897,0.000414877,2.288,2.339,6.865,14.913,1.32,6.462,11.777,24.144,19.386,108.8,118.089,58.881,87,80,1
3.069,0.000292287,1.178,1.296,3.534,16.13,1.52,11.116,12.983,15.491,33.349,102.563,103.021,4.176,15,14,1
2.005,0.000201912,1.122,1.325,3.365,17.62,1.586,8.028,12.4,42.003,24.083,97.725,99.198,6.811,42,41,1
3.404,0.000347408,1.808,1.614,5.423,13.009,1.185,7.095,8.409,11.567,21.284,96.675,97.871,4.343,33,31,1
2.788,0.000285061,1.11,0.816,3.329,13.349,1.262,7.233,9.696,18.845,21.699,95.702,96.993,4.317,39,36,1
5.189,0.000396471,2.433,2.904,7.298,19.593,1.789,10.638,12.213,6.105,31.914,99.462,130.877,94.008,48,45,1
6.572,0.000712761,2.255,1.772,6.764,11.705,1.044,3.7,6.06,15.491,11.099,97.65,93.479,12.143,18,16,1
1.076,0.000105066,0.48,0.67,1.441,11.905,1.044,5.752,8.969,11.49,17.255,101.724,102.305,4.922,26,25,1
4.49,0.000458914,2.449,1.599,7.346,18.809,1.766,7.616,13.887,14.122,22.847,97.591,98.27,7.435,32,30,1
1.546,0.000161172,0.751,0.853,2.254,19.126,1.829,10.391,11.834,22.685,31.174,94.562,95.943,4.286,28,27,1
0.382,0.000027027,0.177,0.238,0.532,5.219,0.468,2.589,2.89,4.646,7.768,141.319,141.279,1.565,671,670,1
0.365,0.000025549,0.173,0.209,0.518,5.182,0.479,2.453,2.878,4.77,7.36,142.969,142.852,1.331,312,311,1
0.506,0.000032704,0.278,0.294,0.834,8.493,0.798,4.256,5.151,7.25,12.769,154.841,154.723,1.485,283,282,1
3.684,0.000267561,1.602,2.369,4.807,16.237,1.529,4.884,10.633,27.551,14.651,136.037,137.69,10.28,51,50,1
5.082,0.000411547,2.151,2.335,6.452,19.518,1.625,7.814,11.239,17.09592,23.441,126.225,122.551,13.313,46,44,1
2.225,0.00017168,1.347,1.363,4.041,14.858,1.245,7.078,8.803,19.609,21.235,127.86,129.437,4.261,30,29,1
1.811,0.000142535,0.807,1.204,2.421,12.539,1.375,3.947,7.703,12.397,11.842,127.561,126.803,4.649,53,51,1
2.424,0.000187681,1.162,1.25,3.487,11.539,1.03,4.911,6.945,10.694,14.732,129.033,128.522,3.654,33,32,1
2.691,0.000207209,1.392,1.214,4.175,12.765,1.543,3.283,5.583,17.763,9.849,133.461,130.278,9.896,55,53,1
3.861,0.000306011,2.11,2.134,6.33,16.619,1.382,5.271,9.245,16.102,15.814,128.888,125.202,10.128,68,66,1
4.138,0.000319493,2.008,2.259,6.025,14.036,1.225,5.766,9.776,14.019,17.297,128.775,129.832,10.832,55,53,1
4.019,0.000302776,2.167,2.423,6.502,12.824,1.148,5.696,8.468,11.562,17.088,136.52,131.907,10.406,87,85,1
1.195,0.000089893,0.598,0.619,1.795,17.9,1.64,4.674,8.994,25.529,14.023,132.897,132.547,1.549,24,23,1
2.945,0.000206307,1.285,1.469,3.856,13.835,1.369,5.338,9.186,14.962,16.013,144.499,142.953,11.902,164,159,1
1.47,0.00011182,0.651,0.753,1.954,12.12,1.111,4.673,7.08,11.967,14.02,131.22,131.388,7.391,151,148,1
3.949,0.00026791,2.076,2.44,6.229,18.137,1.584,6.729,11.628,26.528,20.188,135.919,146.251,57.476,171,166,1
4.077,0.000295293,2.078,2.278,6.235,18.45,1.663,6.801,10.764,21.815,20.402,136.505,138.09,12.466,153,141,1
4.338,0.000323565,2.058,2.09,6.175,21.783,1.813,7.416,16.57,44.764,22.248,135.831,134.295,6.103,51,49,1
2.023,0.000161811,0.904,1.157,2.713,14.244,1.291,7.274,9.32,14.367,21.822,122.074,124.411,7.467,66,64,1
3.435,0.000274294,1.562,2.107,4.687,15.877,1.575,7.851,9.857,13.014,23.554,128.812,125.715,6.916,62,59,1
3.2,0.000242282,1.782,1.694,5.345,13.803,1.31,5.2,8.82,21.069,15.601,136.114,132.511,7.973,69,67,1
2.555,0.000189761,1.094,1.313,3.282,14.974,1.431,6.166,8.154,14.996,18.497,139.636,134.878,9.406,63,60,1
2.239,0.000165077,1.243,1.092,3.73,14.424,1.366,5.117,7.451,14.257,15.35,138.884,134.793,7.38,62,59,1
2.489,0.000182144,1.19,1.146,3.569,13.29,1.25,5.001,7.387,18.145,15.004,136.468,136.328,8.497,65,63,1
4.197,0.000268206,2.262,2.472,6.786,15.99,1.439,8.767,11.074,25.052,26.3,143.216,161.122,84.877,99,93,1
3.426,0.000258857,1.765,1.98,5.295,12.803,1.165,6.324,8.015,14.57,18.971,133.09,133.501,9.374,66,65,1
0.63,0.000041977,0.192,0.251,0.576,5.659,0.547,2.546,3.454,5.046,7.637,146.808,149.804,10.282,88,87,1
0.605,0.00004183,0.301,0.381,0.902,5.623,0.563,2.73,3.856,5.361,8.189,142.938,144.513,5.374,62,61,1
0.988,0.00007528,0.536,0.465,1.609,6.668,0.642,3.588,3.829,4.929,10.765,130.392,131.414,8.128,119,118,1
1.498,0.000122167,0.827,0.763,2.481,9.698,0.821,3.668,6.055,9.741,11.005,125.315,123.007,8.942,41,40,1
2.214,0.000175421,0.777,0.928,2.332,14.302,1.365,5.244,8.088,15.148,15.733,126.228,126.598,9.772,31,30,1
4.82,0.000402243,2.545,2.393,7.636,11.672,1.057,6.999,7.069,14.809,20.996,119.682,119.669,10.222,40,38,1
3.833,0.000330712,2.281,1.617,6.843,14.377,1.273,5.862,9.702,15.999,17.585,117.349,116.294,5.002,40,38,1
2.653,0.000228527,1.468,1.742,4.403,8.223,0.751,4.333,4.379,5.918,13,118.99,116.111,5.51,32,31,1
3.459,0.000293674,1.786,1.624,5.359,13.155,1.148,6.86,7.528,13.611,20.579,118.346,117.803,8.203,63,60,1
3.199,0.000275716,1.598,2.005,4.794,13.091,1.21,6.685,6.834,7.654,20.055,118.661,116.542,7.282,56,54,1
5.049,0.000416076,2.576,3.029,7.728,17.808,1.49,7.728,11.554,21.156,23.183,127.047,122.856,9.548,45,43,1
2.277,0.000197899,1.141,1.488,3.422,15.584,1.439,7.205,11.423,15.165,21.615,114.878,115.773,7.809,37,36,1
3.741,0.000321611,2.054,1.74,6.163,13.908,1.28,5.121,7.622,21.438,15.363,114.853,116.387,10.3,37,35,1
3.331,0.000230644,1.736,2.063,5.209,16.507,1.456,6.593,9.974,20.341,19.78,137.6,142.543,33.315,139,135,1
1.77,0.000137906,0.945,1.086,2.836,9.564,0.927,4.083,5.488,9.567,12.249,129.815,128.076,8.105,154,152,1
2.434,0.000191882,1.177,0.982,3.53,11.312,1.12,5.396,7.05,11.452,16.189,128.77,125.86,9.404,99,96,1
3.647,0.00028407,1.928,1.743,5.785,16.931,1.565,6.25,10.24,23.874,18.749,126.605,128.007,11.21,96,90,1
2.818,0.000185406,1.071,1.85,3.213,12.106,1.224,4.159,7.547,21.394,12.478,127.678,150.213,91.954,25,23,1
1.476,0.000117349,0.716,0.603,2.149,14.002,1.404,4.923,5.502,13.734,14.769,122.024,125.009,8.099,57,56,1
2.5,0.00020202,0.957,1.136,2.871,14.873,1.303,5.783,6.406,7.362,17.349,119.571,123.709,10.492,43,41,1
1.92,0.000156627,0.98,0.815,2.939,13.963,1.237,7.334,9.074,15.709,22.003,119.668,122.356,8.398,54,53,1
6.25,0.000298145,2.904,3.195,8.712,13.047,1.379,3.379,5.043,13.446,10.138,133.084,224.48,146.202,66,60,1
3.834,0.000310084,1.249,1.435,3.747,17.207,1.486,7.802,8.378,13.0106,23.405,121.96,124.471,11.122,27,24,1
1.22,0.000096786,0.591,0.593,1.772,11.535,1.042,2.848,5.021,14.147,8.545,125.892,125.992,4.678,31,30,1
2.872,0.00022414,1.492,1.77,4.477,11.2,1.179,4.277,4.684,8.836,12.831,127.9,128.953,6.882,52,50,1
2.735,0.000239946,1.486,1.168,4.458,10.864,1.058,6.149,6.408,9.428,18.448,110.696,113.237,7.548,35,34,1
0.594,0.00004257,0.325,0.303,0.976,5.3,0.516,2.833,3.1,4.236,8.499,140.395,139.585,6.718,219,218,1
0.265,0.000017537,0.123,0.135,0.368,4.201,0.395,2.204,2.702,3.507,6.612,152.945,150.513,14.524,252,250,1
0.447,0.000026397,0.228,0.244,0.683,11.86,1.059,5.257,7.051,10.827,15.771,171.768,169.211,14.791,320,319,1
2.916,0.000201384,1.087,1.093,3.261,12.629,1.235,4.665,7.582,10.571,13.996,147.062,143.706,24.824,46,45,1
2.572,0.000169355,0.909,0.973,2.726,10.751,0.991,4.169,6.315,5.153,12.506,146.506,151.747,18.303,34,32,1
4.221,0.000244556,2.224,2.65,6.672,21.812,2.076,11.68,17.823,14.104,35.04,162.689,180.024,82.848,46,43,1
4.479,0.000298905,2.362,2.635,7.086,10.802,1.252,4.548,5.785,9.205,13.644,151.048,151.048,6.689,44,43,1
2.316,0.000153511,0.918,1.019,2.754,13.213,1.213,6.335,9.056,10.764,19.004,153.009,150.833,11.08,33,32,1
2.997,0.00020346,1.383,1.18,4.15,14.332,1.308,7.71,8.275,10.647,23.129,148.315,148.637,10.913,79,77,1
1.585,0.000106607,0.729,0.838,2.186,16.985,1.425,8.278,11.823,19.372,24.833,145.11,148.542,10.227,72,71,1
2.841,0.000185604,1.22,1.45,3.659,13.77,1.341,7.43,9.752,12.424,22.29,150.266,152.621,15.363,55,53,1
3.557,0.000228561,1.632,1.525,4.897,17.942,1.884,7.931,13.725,21.617,23.793,154.161,155.984,14.629,60,58,1
1.402,0.000104629,0.666,0.843,1.999,12.833,1.216,5.673,6.81,10.644,17.018,141.697,135.826,26.842,29,28,1
3.099,0.00019987,1.623,1.454,4.869,14.282,1.296,5.798,7.555,10.624,17.395,153.684,153.62,18.495,148,142,1
0.939,0.000062769,0.358,0.481,1.073,10.608,1.031,4.231,6.073,10.836,12.692,148.527,149.765,9.243,181,180,1
2.491,0.000166499,1.223,1.139,3.668,12.253,1.146,4.795,6.917,15.129,14.385,147.377,149.875,8.405,147,143,1
3.227,0.00021113,1.482,1.298,4.446,15.897,1.374,6.58,9.178,7.562,19.741,152.726,152.308,9.368,90,85,1
3.297,0.000222106,1.55,1.833,4.651,14.519,1.292,7.605,9.001,10.744,22.815,144.443,147.124,8.154,34,33,1
1.6,0.00011474,0.858,0.861,2.573,6.783,0.873,2.854,4.053,6.106,8.561,139.103,139.245,2.933,72,71,1
1.627,0.000116041,0.814,0.714,2.443,7.995,0.941,3.397,3.895,6.712,10.19,139.58,140.253,4.485,64,62,1
1.322,0.000096746,0.68,0.62,2.04,10.144,0.92,4.983,5.002,9.542,14.95,135.827,136.596,3.692,68,67,1
2.312,0.000165449,1.034,0.948,3.103,12.389,1.175,5.041,7.285,14.282,15.122,138.667,139.024,3.641,68,66,1
2.217,0.000160453,0.976,1.123,2.927,11.703,1.083,5.006,5.327,9.73,15.017,138.151,137.764,2.917,59,57,1
1.273,0.000092863,0.617,0.442,1.851,6.929,0.734,2.716,3.097,6.246,8.147,136.153,136.606,1.817,51,50,1
2.579,0.000186251,1.265,0.989,3.796,11.274,1.172,4.821,6.045,10.643,14.464,137.273,138.281,3.69,69,68,1
1.449,0.000110485,0.525,0.652,1.575,10.079,1.094,3.286,5.424,8.682,9.858,132.549,130.607,10.014,42,41,1
0.449,0.000034827,0.165,0.198,0.495,3.616,0.32,1.401,2.298,4.359,4.202,128.534,128.787,4.106,197,196,1
0.258,0.000018368,0.092,0.139,0.276,2.603,0.248,0.915,1.323,2.886,2.746,141.389,140.535,3.172,245,244,1
0.296,0.000020331,0.098,0.133,0.293,3.022,0.288,1.164,1.529,2.996,3.491,146.639,145.49,3.309,146,145,1
2.425,0.000215316,1.178,1.214,3.534,11.826,1.113,4.656,6.29,10.6,13.968,114.162,113.562,3.121,37,36,1
0.69,0.000062862,0.257,0.357,0.772,6.354,0.618,2.721,3.993,4.571,8.164,109.985,109.84,2.238,42,41,1
0.526,0.0000495,0.254,0.307,0.761,9.138,0.932,4.896,4.887,7.158,14.687,107.018,106.143,2.287,44,43,1
